column	value	count
breakdown_id	19	18
breakdown_id	1	9108
breakdown_id	8	5634
breakdown_id	9	8517
breakdown_id	83	3262
breakdown_id	12	9088
breakdown_id	112	58
breakdown_id	11	8714
breakdown_id	2	1868
breakdown_id	13	3664
breakdown_id	21	1594
breakdown_id	15	1203
breakdown_id	6	3855
breakdown_id	4	7149
grade	all	5427
grade	6	5842
grade	8	7879
grade	10	1930
grade	7	5068
grade	4	10454
grade	5	15734
grade	3	11398
