column	value	count
breakdown_id	13	257080
breakdown_id	112	425
breakdown_id	2	53945
breakdown_id	1	688035
breakdown_id	15	80055
breakdown_id	9	639225
breakdown_id	16	685285
breakdown_id	3	250795
breakdown_id	10	540765
breakdown_id	21	45020
breakdown_id	4	11205
breakdown_id	11	646245
breakdown_id	6	125750
breakdown_id	12	651735
breakdown_id	8	566430
grade	4	1037675
grade	5	999135
grade	6	798230
grade	7	743695
grade	8	740500
grade	9	225515
grade	3	697245
