county_code,district_code,school_code,filler,test_year,subgroup_id,test_type,total_caaspp_enrollment,total_tested_at_entity_level,total_tested_at_subgroup_level,grade,test_id,caaspp_reported_enrollment,students_tested,percent_tested,mean_scale_score,percentage_standard_exceeded,percentage_standard_met,percentage_standard_met_and_above,percentage_standard_nearly_met,percentage_standard_not_met,students_with_scores,area_1_percentage_above_standard,area_1_percentage_at_or_near_standard,area_1_percentage_below_standard,area_2_percentage_above_standard,area_2_percentage_at_or_near_standard,area_2_percentage_below_standard,area_3_percentage_above_standard,area_3_percentage_at_or_near_standard,area_3_percentage_below_standard,area_4_percentage_above_standard,area_4_percentage_at_or_near_standard,area_4_percentage_below_standard,state_id
1,"","",,2015,28,B,134777,130909,670,7,1,16462,79,0.5,2487.9,4,22,25,30,44,79,5,35,58,14,43,42,5,62,32,11,52,35,01000000000000
1,"","",,2015,28,B,134777,130909,670,7,2,16462,79,0.5,2480.8,6,18,24,25,51,79,13,28,59,9,42,49,8,63,29,0,0,0,01000000000000
1,"","",,2015,28,B,134777,130909,670,8,1,16509,68,0.4,2521.4,4,26,31,32,37,68,6,54,40,16,49,35,1,75,24,10,57,32,01000000000000
1,"","",,2015,28,B,134777,130909,670,8,2,16509,67,0.4,2497.0,6,15,21,21,58,67,13,22,63,7,60,31,6,49,43,0,0,0,01000000000000
1,"","",,2015,28,B,134777,130909,670,11,2,15793,58,0.4,2522.1,3,16,19,28,53,58,10,34,55,9,52,40,5,59,36,0,0,0,01000000000000
1,"","",,2015,28,B,134777,130909,670,11,1,15793,59,0.4,2552.0,12,20,32,46,22,59,14,61,24,14,53,32,7,68,24,19,68,12,01000000000000
1,"","",,2015,28,B,134777,130909,670,13,1,118342,603,0.5,"",6,19,26,30,44,603,7,41,51,10,46,43,7,64,29,13,55,31,01000000000000
1,"","",,2015,28,B,134777,130909,670,13,2,118342,604,0.5,"",5,15,20,30,50,604,10,31,59,8,43,49,6,49,44,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,3,2,17687,8129,46.0,2387.2,6,19,25,29,46,8125,13,33,54,11,41,48,10,55,35,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,3,1,17687,8076,45.7,2369.1,7,15,22,27,51,8068,8,36,55,8,40,52,7,58,35,8,48,43,01000000000000
1,"","",,2015,31,B,134777,130909,59761,4,1,17437,7863,45.1,2410.6,8,16,24,22,54,7860,8,39,53,9,43,48,7,60,33,9,45,41,01000000000000
